id,startTime,stimulus,difficulty,blockId,condition,response,rt,correct,difficulty_next
0,31088,"LEFT",0.5,0,"NEUTRAL","LEFT",1275,true,0.475
1,33437,"RIGHT",0.475,0,"NEUTRAL","RIGHT",865,true,0.45125
2,35346,"RIGHT",0.45125,0,"NEUTRAL","RIGHT",480,true,0.42868749999999994
3,36946,"LEFT",0.42868749999999994,0,"NEUTRAL","RIGHT",473,false,0.47155624999999995
4,38526,"LEFT",0.47155624999999995,0,"NEUTRAL","LEFT",473,true,0.47155624999999995
5,40073,"RIGHT",0.47155624999999995,0,"NEUTRAL","RIGHT",421,true,0.47155624999999995
6,41545,"LEFT",0.47155624999999995,0,"NEUTRAL","LEFT",409,true,0.47155624999999995
7,43018,"RIGHT",0.47155624999999995,0,"NEUTRAL","RIGHT",466,true,0.47155624999999995
8,44532,"LEFT",0.47155624999999995,0,"NEUTRAL","LEFT",391,true,0.424400625
9,45968,"LEFT",0.424400625,0,"NEUTRAL","LEFT",674,true,0.3819605625
0,51642,"RIGHT",0.3819605625,1,"THREAT","RIGHT",785,true,0.34376450625
1,53489,"RIGHT",0.34376450625,1,"THREAT","RIGHT",540,true,0.309388055625
2,55078,"LEFT",0.309388055625,1,"THREAT","LEFT",500,true,0.2784492500625
3,56613,"RIGHT",0.2784492500625,1,"THREAT","RIGHT",454,true,0.25060432505625
4,58117,"LEFT",0.25060432505625,1,"THREAT","LEFT",641,true,0.225543892550625
5,59818,"RIGHT",0.225543892550625,1,"THREAT","RIGHT",495,true,0.2029895032955625
6,61363,"RIGHT",0.2029895032955625,1,"THREAT","RIGHT",551,true,0.18269055296600625
7,63014,"LEFT",0.18269055296600625,1,"THREAT","LEFT",465,true,0.16442149766940564
8,64564,"LEFT",0.16442149766940564,1,"THREAT","LEFT",605,true,0.14797934790246509
9,66242,"LEFT",0.14797934790246509,1,"THREAT","LEFT",643,true,0.1331814131122186
0,71793,"LEFT",0.1331814131122186,2,"CHALLENGE","LEFT",669,true,0.11986327180099673
1,73487,"RIGHT",0.11986327180099673,2,"CHALLENGE","RIGHT",641,true,0.10787694462089706
2,75204,"RIGHT",0.10787694462089706,2,"CHALLENGE","RIGHT",551,true,0.09708925015880736
3,76834,"RIGHT",0.09708925015880736,2,"CHALLENGE","RIGHT",653,true,0.08738032514292662
4,78540,"LEFT",0.08738032514292662,2,"CHALLENGE","LEFT",556,true,0.07864229262863397
5,80143,"LEFT",0.07864229262863397,2,"CHALLENGE","LEFT",572,true,0.07077806336577057
6,81764,"LEFT",0.07077806336577057,2,"CHALLENGE","LEFT",546,true,0.06370025702919352
7,83353,"LEFT",0.06370025702919352,2,"CHALLENGE","LEFT",676,true,0.05733023132627417
8,85092,"RIGHT",0.05733023132627417,2,"CHALLENGE","LEFT",147,false,0.05733023132627417
9,86297,"RIGHT",0.05733023132627417,2,"CHALLENGE","RIGHT",636,true,0.05733023132627417
