t,c,b,roival,motion,blink,ear,exposure_fluc,quality
12414,"CHALLENGE",0,31.88888888888889,0.0018125256911227076,0,0.41369559016863977,0,1
12441,"CHALLENGE",0,32.44444444444444,0.002138419291934467,0,0.4060138214592327,0.2399088541666572,1
12462,"CHALLENGE",0,32.44444444444444,0.0009121222818375206,0,0.40217620434033674,0,1
12487,"CHALLENGE",0,34.333333333333336,0.0001380855448878716,0,0.39918812725864206,1.2298177083333428,1
12513,"CHALLENGE",0,36.77777777777778,0.0032083411853847375,0,0.41011790585027813,0.5862630208333428,1
12533,"CHALLENGE",0,28.333333333333332,0.00420176638675653,0,0.43354635256040164,0,1
12560,"CHALLENGE",0,29,0.0015301308318160021,0,0.42270867617813307,0.0576171875,1
12581,"CHALLENGE",0,29,0.0018186162592029604,0,0.4112846337002838,0,1
12601,"CHALLENGE",0,29,0.000360886219256967,0,0.41614835572139974,0,1
12629,"CHALLENGE",0,28.444444444444443,0.0007756428395781025,0,0.4192997555894854,0.4729817708333428,1
12660,"CHALLENGE",0,29.444444444444443,0.011266091376183306,0,0.41651274726668613,0.0458984375,1
12681,"CHALLENGE",0,29.88888888888889,0.0014687927221190915,0,0.38579255047464694,0.2037760416666572,1
12713,"CHALLENGE",0,29.88888888888889,0.0008676862180921839,0,0.38852220779984,0,1
12742,"CHALLENGE",0,29.22222222222222,0.0014128856601265988,0,0.3956828477656287,0.2024739583333428,1
12764,"CHALLENGE",0,29.22222222222222,0.0011146574742794658,0,0.39534440412387967,0,1
12789,"CHALLENGE",0,30.22222222222222,0.0004938077010110427,0,0.3993859850655317,0.029947916666657193,1
12819,"CHALLENGE",0,30.333333333333332,0.004409753092551661,0,0.39849140826227814,0.018880208333314386,1
12854,"CHALLENGE",0,30,0.0013617163576226737,0,0.37935564432192753,0.12467447916665719,1
12887,"CHALLENGE",0,30.444444444444443,0.0012927741836358591,0,0.3574075787792656,0.07096354166665719,1
12917,"CHALLENGE",0,30.444444444444443,0.002850153962765633,1,0.07107473339004872,0,1
12943,"CHALLENGE",0,30.444444444444443,0.003115426082857055,1,0.06973135173711342,0,1
12966,"CHALLENGE",0,32.22222222222222,0.003963040600277793,1,0.07123016692652194,0.1682942708333428,1
12988,"CHALLENGE",0,32.22222222222222,0.000917525119154737,1,0.07580721207562735,0,1
13009,"CHALLENGE",0,34.111111111111114,0.00006491079911422313,1,0.0748379838468771,0.08333333333334281,1
13031,"CHALLENGE",0,28.444444444444443,0.007448289379977662,1,0.06551339715425557,0,1
13051,"CHALLENGE",0,28.444444444444443,0.0040139681951175165,1,0.07443681877797262,0,1
13073,"CHALLENGE",0,29.88888888888889,0.0030612545317422455,1,0.059610630039791834,0.0634765625,1
13099,"CHALLENGE",0,29.88888888888889,0.0011964385352461805,1,0.15528348710267714,0,1
13120,"CHALLENGE",0,30.11111111111111,0.0012824123205829791,1,0.17060094218943203,0.09993489583331439,1
13146,"CHALLENGE",0,30.11111111111111,0.0005298091951252334,1,0.18228615444237975,0,1
13181,"CHALLENGE",0,30.666666666666668,0.0007133687181081282,1,0.2116096299171725,0.06282552083331439,1
13226,"CHALLENGE",0,31.77777777777778,0.0011759252076493987,1,0.22866823362262514,0.021809895833342807,1
